GENOME	CLUSTER	SUBCLUSTER
Aragog	A	A5
Aragon	None	None
Araign	None	None
Araneam	None	None
AranulaLuti	EA	EA1
Araxxi	EM	None
Arayna	None	None
Arbab21YSO	None	None
Arbiter	B	B2
Arbol	None	None
Arbutus	None	None
Arby	AN	None
Arcadia	AM	None
Arcadia1	None	None
Arcadian	None	None
Arcana	None	None
Arcanine	A	A1
Archer	None	None
Archer19	None	None
ArcherNM	A	A2
Archers	None	None
ArcherS7	C	C1
Archetta	A	A5
Archibald	None	None
ArchibaldJ	None	None
Archie	L	L2
Archimedes	DA	None
Archis	CV	None
Arcie	None	None
Arcturus	None	None
ArcusAngelus	F	F1
Ardmore	F	F1
AreFloNak	AU	AU1
Areg16	None	None
Ares	B	B2
Arete	EM	None
AreToDeeTo	None	None
Arewe	None	None
Arey123	None	None
Arfine	None	None
Argel7	None	None
Argent26	E	None
Argh	None	None
Argie	W	None
Argo	None	None
Argonaut	None	None
Argos	None	None
Arguss	None	None
Argyle	None	None
Ariadne	EC	None
Ariando	None	None
Arianna	EO	None
Arib1	P	P1
Ariel	J	None
Ariella	None	None
Arielle	None	None
ArielleDownes	None	None
Arienne	F	F1
Aries55	EE	None
Ariess	None	None
Arietta	None	None
ArigunDD10	B	B1
ArigunHALO	None	None
ArigunLND	None	None
Ariko	None	None
AriLen	None	None
Arissanae	A	A9
Aristotle	None	None
Ariweezy	None	None
Arizona	None	None
ArKay	None	None
Arlex5	None	None
Arley	None	None
Arlington	FE	None
Arlo	A	A1
Armadillo	None	None
ArmadiloMcFaji	None	None
Armando	None	None
Armani	None	None
ArmaVirumque	None	None
ArMaWen	EK	EK1
Arminius	None	None
Armintorix	None	None
Armstrong	EB	None
Arna	None	None
Arnold	None	None
Aro9312	None	None
Aroostook	G	G1
Arpie	None	None
Array	None	None
Arri	DC	DC1
Arrow	None	None
Arroyo	EB	None
Arroz	None	None
Artemis	None	None
Artemis2UCLA	A	A6
Artemis9	None	None
ArtemisFowl	None	None
Artemisia	None	None
ArtherBaxter	AP	None
ArthroBear	None	None
ArthroPeanut	None	None
ArthroTrooper	None	None
Arthur	None	None
ArthurDiablo	None	None
ArthuroReed	None	None
ArthursBeavers	EE	None
ArthurtheSnake	EE	None
Arti	CR	CR2
Articuno	None	None
ArtieJr	None	None
Artis	None	None
Artist	None	None
Arturo	A	A4
ArTwo	None	None
Arty	None	None
Aruba	None	None
ArV1	AR	None
ArV2	Singleton	None
Arva	None	None
Arvin	None	None
Arvo	None	None
Aryas	None	None
Arzan	Singleton	None
ArzE	None	None
Asa16	AZ	None
AsaBoo	None	None
Asada	None	None
Asapag	DN	DN1
Asapben	None	None
Asaurus	None	None
Asayake	K	K1
Ascela	None	None
Ascisco	None	None
Asclepius	None	None
Asegbola	None	None
AsepTech	A	A2
ASerpRocky	CS	CS4
Asert12	None	None
Asfaw	None	None
Asgard	None	None
Asgardia	None	None
Ash1	None	None
Asha	None	None
Ashab96	None	None
Ashanti	None	None
AshbyBoongus	None	None
Ashe	None	None
Ashen	None	None
Asher	None	None
Ashertheman	DE	DE1
Ashleigh	None	None
AshLeigh101	None	None
AshleyAve	None	None
AshleyC	None	None
AshleyJosh	None	None
Ashlynn	None	None
Ashlynx	None	None
Ashogether	B	B4
Ashori	None	None
Ashraf	B	B1
Ashton	EK	EK2
AshtonG	None	None
Ashu	None	None
Ashuan	None	None
Ashwanth	None	None
Ashy	None	None
AsiagoBagel	None	None
AsianInvasion	None	None
Asiantix	None	None
Asimov	None	None
Asis	BG	None
Askeptic	None	None
Aslan	None	None
Asmart	F	F1
Asmora	None	None
Aspen	K	None
Aspid	None	None
Aspire	None	None
AsraZer	None	None
Asriel	E	None
Assassin	None	None
Assassinator	A	A3
AStar	None	None
Astaroth	None	None
Asten	BD	BD1
Asteria	None	None
AsteriskF	None	None
Asteroid	None	None
Astley	None	None
Astoria	None	None
Astraea	C	C1
Astraeus	None	None
Astraios	None	None
Astrid	None	None
Astro	A	A8
AstrumP28	B	B1
Asuzu	A	A2
ATCC29399BC	BU	None
ATCC29399BT	BU	None
Atcoo	P	P1
Athaliah	None	None
Athena	B	B3
Athena1	None	None
Athene	None	None
Athenon	None	None
Atiba	K	K1
Atkinbua	A	A1
Atkins	None	None
AtlantaHeat	None	None
Atlantean	C	C1
Atlantis	None	None
Atlas	C	C1
Atlas13	None	None
Atlas16	None	None
AtLast	None	None
Atlasyo	None	None
Atom	None	None
Atomi	None	None
Atraxa	AX	None
Atraxi	EK	EK2
Atreau	None	None
Atree	None	None
Atreides	None	None
Atreus	None	None
Attacne	BU	None
Atticus	None	None
AtticusBane	None	None
AtticusFinch	None	None
AtticusFinch2	None	None
Attis	CZ	CZ2
Attoomi	Singleton	None
Atuin	FC	None
Aubergine	EA	EA1
AubreyG	None	None
AubreyJR	None	None
Aubs	F	F1
Auctoritas	None	None
Audie	None	None
Audley	None	None
Audra	None	None
Audrey	B	B3
Audrick	C	C1
Audrizzle82	None	None
Auggie	None	None
Auggie10	None	None
Aught	None	None
AugsMagnumOpus	A	A3
August	None	None
AuGUsta	None	None
Augustine	None	None
AugustRush	None	None
Augustus	None	None
AuLait	None	None
Aulisio	None	None
Aumarh	Q	None
Aura	None	None
Auralea	None	None
AuraMarigold	None	None
Auran	None	None
AureaDelicata	None	None
Aurelia	None	None
Aurelius	None	None
Aureola	None	None
Aureole	None	None
Aurora	None	None
Auroraborealis	K	None
Aurous	None	None
Ausky	None	None
AuStella	None	None
Austelle	B	B4
AustiBaby	None	None
Austin	CS	CS1
Austin4Prez	None	None
Austintatious	BC	BC3
Austonio	None	None
Austrolorp	E	None
Autotalli	None	None
Autumn	None	None
Auxilium	AY	None
Ava3	C	C1
AvadaKedavra	L	L1
AvaJo	None	None
Avalanche	None	None
Avalon	None	None
Avani	F	F2
